province,year,homeownership,homeownership_index
Yogyakarta,2000,80.84,103.77406931964057
Yogyakarta,2001,73.19,93.9537869062901
Yogyakarta,2002,77.25,99.16559691912707
Yogyakarta,2003,75.13,96.44415917843388
Yogyakarta,2004,72.61,93.20924261874197
Yogyakarta,2005,73.31,94.10783055198972
Yogyakarta,2006,72.41,92.95250320924261
Yogyakarta,2007,74.09,95.10911424903723
Yogyakarta,2008,75.36,96.73940949935815
Yogyakarta,2009,78.63,100.93709884467263
Yogyakarta,2010,74.5,95.6354300385109
Yogyakarta,2011,75.7,97.17586649550705
Yogyakarta,2012,76.83,98.62644415917843
Yogyakarta,2013,76.88,98.69062901155327
Yogyakarta,2014,74.97,96.23876765083439
Yogyakarta,2015,76.99,98.83183568677791
Yogyakarta,2016,77.4,99.3581514762516
Yogyakarta,2017,75.26,96.61103979460847
Yogyakarta,2018,76.54,98.25417201540436
Yogyakarta,2019,73.29,94.08215661103979
Yogyakarta,2020,74.55,95.69961489088574
East Java,1999,89.87,100
East Java,2000,89.92,100.055635918549
East Java,2001,86.25,95.9719594970513
East Java,2002,87.69,97.57427395126292
East Java,2003,89.54,99.6328029375765
East Java,2004,88.08,98.00823411594524
East Java,2005,88.2,98.1417603204629
East Java,2006,88.27,98.21965060643151
East Java,2007,86.66,96.42817402915321
East Java,2008,87.63,97.5075108490041
East Java,2009,88.09,98.01936129965506
East Java,2010,87.05,96.86213419383553
East Java,2011,86.85,96.63959051963947
East Java,2012,88.56,98.54233893401579
East Java,2013,87.66,97.54089240013352
East Java,2014,87.14,96.96227884722376
East Java,2015,90.46,100.65650383887836
East Java,2016,90.76,100.99031935017247
East Java,2017,87.55,97.41849337932568
East Java,2018,87.46,97.31834872593745
East Java,2019,87.58,97.45187493045509
East Java,2020,87.12,96.94002447980417
Bali,1999,84.27,100
Bali,2000,83.63,99.24053637118784
Bali,2001,78.74,93.437759582295
Bali,2002,79.24,94.0310905423045
Bali,2003,83.65,99.26426960958824
Bali,2004,79.46,94.29215616470867
Bali,2005,79.03,93.78189153910051
Bali,2006,77.01,91.38483446066216
Bali,2007,73.86,87.64684941260235
Bali,2008,77.11,91.50350065266406
Bali,2009,76.84,91.18310193425894
Bali,2010,71.28,84.58526165895337
Bali,2011,70.3,83.42233297733476
Bali,2012,76.17,90.38803844784621
Bali,2013,72.36,85.86685653257388
Bali,2014,69.8,82.82900201732527
Bali,2015,77.31,91.74083303666785
Bali,2016,74.05,87.87231517740595
Bali,2017,70.54,83.70713183813933
Bali,2018,71.75,85.1429927613623
Bali,2019,72.88,86.48392073098374
Bali,2020,71.17,84.45472884775128
West Nusa Tenggara,1999,91.66,100
West Nusa Tenggara,2000,89.56,97.70892428540257
